model,parent_job_id,cpl_attempt_1,cpl_correction,cpl_control,delta_correction,delta_control,net_feedback_effect
qwen2.5:7b,job_00002_qwen2_5_7b_pgn+fen_1,611.0,,,,,
qwen2.5:7b,job_00012_qwen2_5_7b_fen_only_1,294.0,,,,,
qwen2.5:7b,job_00029_qwen2_5_7b_pgn+fen_1,424.0,,1274.0,,-850.0,
qwen2.5:7b,job_00023_qwen2_5_7b_pgn+fen_1,9841.0,520.0,,9321.0,,
qwen2.5:7b,job_00027_qwen2_5_7b_fen_only_1,157.0,1029.0,985.0,-872.0,-828.0,-44.0
qwen2.5:7b,job_00031_qwen2_5_7b_cot_1,452.0,,,,,
qwen2.5:7b,job_00030_qwen2_5_7b_cot_1,372.0,,1122.0,,-750.0,
qwen2.5:7b,job_00037_qwen2_5_7b_pgn+fen_1,9378.0,,,,,
qwen2.5:7b,job_00049_qwen2_5_7b_cot_1,423.0,,,,,
qwen2.5:7b,job_00061_qwen2_5_7b_fen_only_1,474.0,,,,,
qwen2.5:7b,job_00060_qwen2_5_7b_pgn+fen_1,120.0,,,,,
qwen2.5:7b,job_00067_qwen2_5_7b_cot_1,189.0,,,,,
qwen2.5:7b,job_00072_qwen2_5_7b_fen_only_1,3702.0,,,,,
qwen2.5:7b,job_00065_qwen2_5_7b_cot_1,231.0,28.0,,203.0,,
qwen2.5:7b,job_00072_qwen2_5_7b_pgn+fen_1,3702.0,,,,,
qwen2.5:7b,job_00072_qwen2_5_7b_cot_1,3702.0,,,,,
qwen2.5:7b,job_00075_qwen2_5_7b_fen_only_1,9902.0,,,,,
qwen2.5:7b,job_00075_qwen2_5_7b_pgn+fen_1,9902.0,,,,,
qwen2.5:7b,job_00078_qwen2_5_7b_fen_only_1,10227.0,,,,,
qwen2.5:7b,job_00080_qwen2_5_7b_pgn+fen_1,10487.0,,,,,
qwen2.5:7b,job_00088_qwen2_5_7b_pgn+fen_1,725.0,,,,,
qwen2.5:7b,job_00088_qwen2_5_7b_fen_only_1,384.0,,,,,
qwen2.5:7b,job_00097_qwen2_5_7b_pgn+fen_1,458.0,,,,,
qwen2.5:7b,job_00093_qwen2_5_7b_pgn+fen_1,10143.0,458.0,,9685.0,,
